City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Bonavista,CA,48.6499,-53.1147,64.51,78,30,13.85,scattered clouds
319,Saulkrasti,LV,57.2622,24.4147,69.75,94,26,5.37,scattered clouds
320,Muros,ES,42.7762,-9.0603,65.08,75,0,11.14,clear sky
321,El Jicaro,GT,14.9167,-89.9,87.33,93,82,5.06,broken clouds
322,Eenhana,NA,-17.4667,16.3333,58.15,36,2,6.22,clear sky
323,Ixtapa,MX,20.7,-105.2,91.22,59,59,3.0,broken clouds
324,Ponta Delgada,PT,37.7333,-25.6667,74.5,83,20,5.75,few clouds
325,Naze,JP,28.3667,129.4833,79.72,74,28,7.23,scattered clouds
326,Pag,HR,44.445,15.0575,72.18,57,0,6.08,clear sky
327,Port Blair,IN,11.6667,92.75,77.04,100,100,2.3,mist
328,Mabamba,TZ,-3.5983,30.5019,67.33,45,48,2.01,scattered clouds
329,Frankfort,ZA,-27.2667,28.4833,55.71,45,100,4.9,overcast clouds
330,Vila,PT,42.0304,-8.1588,58.69,76,0,5.77,clear sky
331,Vostok,RU,46.4856,135.8833,62.51,84,95,2.46,overcast clouds
332,Waw,SS,7.7029,27.9953,69.89,96,72,3.53,light rain
333,Sakaiminato,JP,35.55,133.2333,75.18,88,75,5.75,broken clouds
334,Moorhead,US,46.8739,-96.7676,90.99,35,0,8.05,clear sky
335,San Felipe,VE,10.3399,-68.7425,74.1,89,71,4.29,broken clouds
336,Fort Smith,US,35.3859,-94.3986,99.18,34,0,9.22,clear sky
337,Palu,ID,-0.8917,119.8707,75.76,96,80,2.44,broken clouds
338,Blythe,US,33.6103,-114.5964,116.04,11,0,13.8,clear sky
339,Tarquinia,IT,42.2482,11.7553,79.57,74,0,1.28,clear sky
340,Yanam,IN,16.7333,82.2167,77.7,88,100,7.07,overcast clouds
341,Haines Junction,CA,60.7522,-137.5108,58.95,44,86,5.75,overcast clouds
342,Korla,CN,41.7597,86.1469,78.58,25,0,4.07,clear sky
343,Bubaque,GW,11.2833,-15.8333,78.48,87,100,18.79,light rain
344,Yatou,CN,37.15,122.3833,70.66,96,100,2.39,heavy intensity rain
345,Bengkulu,ID,-3.8004,102.2655,75.02,87,80,4.36,broken clouds
